2026-02-09 19:18:29 | INFO     | utils                | crear_datos_aventura | 🎲 Iniciando generación de aventura
2026-02-09 19:18:29 | INFO     | utils                | crear_datos_aventura | Setting: un bosque de cristal que vibra con una canción que vuelve loca a la gente
2026-02-09 19:18:29 | INFO     | utils                | crear_datos_aventura | Estilo: EDAD PRIMIGENIA
2026-02-09 19:18:29 | INFO     | utils                | crear_datos_aventura | Paso 1/3: Generando personajes...
2026-02-09 19:18:29 | INFO     | utils                | generar_con_ia  | Generando contenido con IA (JSON=True)
2026-02-09 19:18:46 | INFO     | utils                | generar_con_ia  | ✓ Respuesta recibida de Ollama (2156 caracteres)
2026-02-09 19:18:46 | INFO     | utils                | generar_con_ia  | ✓ JSON parseado exitosamente
2026-02-09 19:18:46 | INFO     | utils                | sanitizar_pj    | Sanitizando personaje: Elara de las Nieves
2026-02-09 19:18:46 | WARNING  | utils                | sanitizar_pj    | Stats faltantes para Elara de las Nieves, generando aleatorios
2026-02-09 19:18:46 | INFO     | utils                | sanitizar_pj    | ✓ Personaje sanitizado: Elara de las Nieves (Bárbaro, HP:23, AC:11)
2026-02-09 19:18:46 | INFO     | utils                | sanitizar_pj    | Sanitizando personaje: Thalion Grisplata
2026-02-09 19:18:46 | WARNING  | utils                | sanitizar_pj    | Stats faltantes para Thalion Grisplata, generando aleatorios
2026-02-09 19:18:46 | INFO     | utils                | sanitizar_pj    | ✓ Personaje sanitizado: Thalion Grisplata (Guerrero, HP:22, AC:16)
2026-02-09 19:18:46 | INFO     | utils                | sanitizar_pj    | Sanitizando personaje: Lysandra Corazón de Luna
2026-02-09 19:18:46 | WARNING  | utils                | sanitizar_pj    | Clase no reconocida 'Hechicera de la luna', usando 'Guerrero' por defecto
2026-02-09 19:18:46 | WARNING  | utils                | sanitizar_pj    | Stats faltantes para Lysandra Corazón de Luna, generando aleatorios
2026-02-09 19:18:46 | INFO     | utils                | sanitizar_pj    | ✓ Personaje sanitizado: Lysandra Corazón de Luna (Guerrero, HP:28, AC:16)
2026-02-09 19:18:46 | INFO     | utils                | sanitizar_pj    | Sanitizando personaje: Kael'thas Sombraluna
2026-02-09 19:18:46 | WARNING  | utils                | sanitizar_pj    | Clase no reconocida 'Roguesombras', usando 'Guerrero' por defecto
2026-02-09 19:18:46 | WARNING  | utils                | sanitizar_pj    | Stats faltantes para Kael'thas Sombraluna, generando aleatorios
2026-02-09 19:18:46 | INFO     | utils                | sanitizar_pj    | ✓ Personaje sanitizado: Kael'thas Sombraluna (Guerrero, HP:19, AC:16)
2026-02-09 19:18:46 | INFO     | utils                | crear_datos_aventura | ✓ 4 personajes generados
2026-02-09 19:18:46 | INFO     | utils                | crear_datos_aventura | Paso 2/3: Generando historia...
2026-02-09 19:18:46 | INFO     | utils                | generar_con_ia  | Generando contenido con IA (JSON=True)
2026-02-09 19:19:09 | INFO     | utils                | generar_con_ia  | ✓ Respuesta recibida de Ollama (4208 caracteres)
2026-02-09 19:19:09 | INFO     | utils                | generar_con_ia  | ✓ JSON parseado exitosamente
2026-02-09 19:19:09 | INFO     | utils                | crear_datos_aventura | ✓ Historia generada: La Canción del Bosque de Cristal
2026-02-09 19:19:09 | INFO     | utils                | crear_datos_aventura | Paso 3/3: Agregando URLs de imágenes...
2026-02-09 19:19:09 | INFO     | utils                | crear_datos_aventura | ✓ Imágenes agregadas
2026-02-09 19:19:09 | INFO     | utils                | crear_datos_aventura | 🎉 Aventura generada exitosamente
2026-02-09 19:32:27 | INFO     | utils                | crear_datos_aventura | 🎲 Iniciando generación de aventura
2026-02-09 19:32:27 | INFO     | utils                | crear_datos_aventura | Setting: una ciudad construida dentro del cráneo de un titán muerto hace eones
2026-02-09 19:32:27 | INFO     | utils                | crear_datos_aventura | Estilo: PIRATAS
2026-02-09 19:32:27 | INFO     | utils                | crear_datos_aventura | Paso 1/3: Generando personajes...
2026-02-09 19:32:27 | INFO     | utils                | generar_con_ia  | Generando contenido con IA (JSON=True)
2026-02-09 19:32:39 | INFO     | utils                | generar_con_ia  | ✓ Respuesta recibida de Ollama (2277 caracteres)
2026-02-09 19:32:39 | INFO     | utils                | generar_con_ia  | ✓ JSON parseado exitosamente
2026-02-09 19:32:39 | INFO     | utils                | sanitizar_pj    | Sanitizando personaje: Astraria
2026-02-09 19:32:39 | WARNING  | utils                | sanitizar_pj    | Clase no reconocida 'Maga', usando 'Guerrero' por defecto
2026-02-09 19:32:39 | WARNING  | utils                | sanitizar_pj    | Stats faltantes para Astraria, generando aleatorios
2026-02-09 19:32:39 | INFO     | utils                | sanitizar_pj    | ✓ Personaje sanitizado: Astraria (Guerrero Nv.3, HP:25, AC:16)
2026-02-09 19:32:39 | INFO     | utils                | sanitizar_pj    | Sanitizando personaje: Thorne
2026-02-09 19:32:39 | WARNING  | utils                | sanitizar_pj    | Stats faltantes para Thorne, generando aleatorios
2026-02-09 19:32:39 | INFO     | utils                | sanitizar_pj    | ✓ Personaje sanitizado: Thorne (Guerrero Nv.3, HP:31, AC:16)
2026-02-09 19:32:39 | INFO     | utils                | sanitizar_pj    | Sanitizando personaje: Lumen
