2026-02-14 10:43:49 | INFO     | ai_client            | generar_con_ia  | Generando contenido con IA (JSON=True)
2026-02-14 10:44:09 | INFO     | ai_client            | generar_con_ia  | ✓ Respuesta recibida de Ollama (2960 caracteres)
2026-02-14 10:44:09 | INFO     | ai_client            | generar_con_ia  | ✓ JSON parseado exitosamente
2026-02-14 10:44:09 | INFO     | ai_client            | generar_con_ia  | Generando contenido con IA (JSON=True)
2026-02-14 10:45:00 | INFO     | ai_client            | generar_con_ia  | ✓ Respuesta recibida de Ollama (8572 caracteres)
2026-02-14 10:45:00 | INFO     | ai_client            | generar_con_ia  | ✓ JSON parseado exitosamente
2026-02-16 19:19:07 | INFO     | ai_client            | generar_con_ia  | Generando contenido con IA (JSON=True)
2026-02-16 19:19:27 | INFO     | ai_client            | generar_con_ia  | ✓ Respuesta recibida de Ollama (2418 caracteres)
2026-02-16 19:19:27 | INFO     | ai_client            | generar_con_ia  | ✓ JSON parseado exitosamente
2026-02-16 19:19:27 | INFO     | ai_client            | generar_con_ia  | Generando contenido con IA (JSON=True)
2026-02-16 19:20:19 | INFO     | ai_client            | generar_con_ia  | ✓ Respuesta recibida de Ollama (9572 caracteres)
2026-02-16 19:20:19 | INFO     | ai_client            | generar_con_ia  | ✓ JSON parseado exitosamente
2026-02-16 19:34:37 | INFO     | ai_client            | generar_con_ia  | Generando contenido con IA (JSON=True)
2026-02-16 19:34:50 | INFO     | ai_client            | generar_con_ia  | ✓ Respuesta recibida de Ollama (2201 caracteres)
2026-02-16 19:34:50 | INFO     | ai_client            | generar_con_ia  | ✓ JSON parseado exitosamente
2026-02-16 19:34:50 | INFO     | ai_client            | generar_con_ia  | Generando contenido con IA (JSON=True)
2026-02-16 19:35:13 | INFO     | ai_client            | generar_con_ia  | ✓ Respuesta recibida de Ollama (4255 caracteres)
2026-02-16 19:35:13 | INFO     | ai_client            | generar_con_ia  | ✓ JSON parseado exitosamente
2026-02-16 20:12:01 | INFO     | ai_client            | generar_con_ia  | Generando contenido con IA (JSON=True)
2026-02-16 20:12:15 | INFO     | ai_client            | generar_con_ia  | ✓ Respuesta recibida de Ollama (2533 caracteres)
2026-02-16 20:12:15 | INFO     | ai_client            | generar_con_ia  | ✓ JSON parseado exitosamente
2026-02-16 20:12:15 | INFO     | ai_client            | generar_con_ia  | Generando contenido con IA (JSON=True)
2026-02-16 20:13:11 | INFO     | ai_client            | generar_con_ia  | ✓ Respuesta recibida de Ollama (10930 caracteres)
2026-02-16 20:13:11 | INFO     | ai_client            | generar_con_ia  | ✓ JSON parseado exitosamente
2026-02-16 20:19:30 | INFO     | ai_client            | generar_con_ia  | Generando contenido con IA (JSON=True)
2026-02-16 20:19:50 | INFO     | ai_client            | generar_con_ia  | ✓ Respuesta recibida de Ollama (2612 caracteres)
2026-02-16 20:19:50 | INFO     | ai_client            | generar_con_ia  | ✓ JSON parseado exitosamente
2026-02-16 20:19:50 | INFO     | ai_client            | generar_con_ia  | Generando contenido con IA (JSON=True)
2026-02-16 20:20:50 | ERROR    | ai_client            | generar_con_ia  | Timeout al contactar Ollama (60s): http://localhost:11434/api/generate
2026-02-16 20:35:20 | INFO     | ai_client            | generar_con_ia  | Generando contenido con IA (JSON=True)
2026-02-16 20:35:33 | INFO     | ai_client            | generar_con_ia  | ✓ Respuesta recibida de Ollama (2554 caracteres)
2026-02-16 20:35:33 | INFO     | ai_client            | generar_con_ia  | ✓ JSON parseado exitosamente
2026-02-16 20:35:33 | INFO     | ai_client            | generar_con_ia  | Generando contenido con IA (JSON=True)
2026-02-16 20:36:18 | INFO     | ai_client            | generar_con_ia  | ✓ Respuesta recibida de Ollama (8387 caracteres)
2026-02-16 20:36:18 | INFO     | ai_client            | generar_con_ia  | ✓ JSON parseado exitosamente
2026-02-16 20:41:24 | INFO     | ai_client            | generar_con_ia  | Generando contenido con IA (JSON=True)
2026-02-16 20:41:35 | INFO     | ai_client            | generar_con_ia  | ✓ Respuesta recibida de Ollama (1784 caracteres)
2026-02-16 20:41:35 | INFO     | ai_client            | generar_con_ia  | ✓ JSON parseado exitosamente
2026-02-16 20:41:35 | INFO     | ai_client            | generar_con_ia  | Generando contenido con IA (JSON=True)
2026-02-16 20:42:27 | INFO     | ai_client            | generar_con_ia  | ✓ Respuesta recibida de Ollama (9891 caracteres)
2026-02-16 20:42:27 | INFO     | ai_client            | generar_con_ia  | ✓ JSON parseado exitosamente
2026-02-16 20:47:08 | INFO     | ai_client            | generar_con_ia  | Generando contenido con IA (JSON=True)
2026-02-16 20:47:22 | INFO     | ai_client            | generar_con_ia  | ✓ Respuesta recibida de Ollama (2893 caracteres)
